"jhi_date";"homework";"lesson_position";"enabled";"lesson_id";"form_id";"classroom_id";"teacher_id";"lesson_type_id"
"2017-05-01 00:00:00";"Задача 126";1;true;7;2;1;4;2
"2017-05-01 00:00:00";"Задача 209";2;true;1;2;2;1;3
"2017-05-01 00:00:00";"Задача 152";3;true;4;3;1;3;1
"2017-05-01 00:00:00";"Задача 99";4;true;7;3;4;4;5
"2017-05-01 00:00:00";"Задача 158";5;true;8;3;4;5;2
"2017-05-01 00:00:00";"Задача 122";6;true;8;1;3;5;4
"2017-05-01 00:00:00";"Задача 104";7;true;6;4;1;4;5
"2017-05-01 00:00:00";"Задача 37";8;true;4;3;2;3;5
"2017-05-01 00:00:00";"Задача 80";9;true;5;4;2;3;2
"2017-05-01 00:00:00";"Задача 67";10;true;8;1;5;5;1
"2017-05-02 00:00:00";"Задача 233";1;true;3;2;4;2;1
"2017-05-02 00:00:00";"Задача 221";2;true;1;3;2;1;2
"2017-05-02 00:00:00";"Задача 81";3;true;8;1;4;5;3
"2017-05-02 00:00:00";"Задача 124";4;true;7;3;4;4;4
"2017-05-02 00:00:00";"Задача 94";5;true;2;3;1;2;1
"2017-05-02 00:00:00";"Задача 194";6;true;8;1;5;5;3
"2017-05-02 00:00:00";"Задача 73";7;true;3;4;3;2;4
"2017-05-02 00:00:00";"Задача 247";8;true;6;2;3;4;4
"2017-05-02 00:00:00";"Задача 55";9;true;7;2;3;4;3
"2017-05-02 00:00:00";"Задача 215";10;true;8;1;1;5;2
"2017-05-03 00:00:00";"Задача 165";1;true;6;1;3;4;2
"2017-05-03 00:00:00";"Задача 134";2;true;3;1;3;2;1
"2017-05-03 00:00:00";"Задача 192";3;true;1;2;3;1;5
"2017-05-03 00:00:00";"Задача 133";4;true;3;1;3;2;5
"2017-05-03 00:00:00";"Задача 212";5;true;7;1;5;4;5
"2017-05-03 00:00:00";"Задача 90";6;true;8;1;4;5;3
"2017-05-03 00:00:00";"Задача 96";7;true;8;4;5;5;3
"2017-05-03 00:00:00";"Задача 171";8;true;7;3;3;4;3
"2017-05-03 00:00:00";"Задача 197";9;true;2;1;3;2;3
"2017-05-03 00:00:00";"Задача 141";10;true;5;2;4;3;2
"2017-05-04 00:00:00";"Задача 162";1;true;6;1;3;4;3
"2017-05-04 00:00:00";"Задача 93";2;true;1;2;3;1;4
"2017-05-04 00:00:00";"Задача 109";3;true;2;4;1;2;5
"2017-05-04 00:00:00";"Задача 242";4;true;3;2;4;2;1
"2017-05-04 00:00:00";"Задача 188";5;true;3;4;1;2;3
"2017-05-04 00:00:00";"Задача 201";6;true;7;1;1;4;2
"2017-05-04 00:00:00";"Задача 85";7;true;4;2;1;3;3
"2017-05-04 00:00:00";"Задача 39";8;true;1;1;4;1;5
"2017-05-04 00:00:00";"Задача 249";9;true;2;2;4;2;3
"2017-05-04 00:00:00";"Задача 49";10;true;1;4;1;1;5
"2017-05-05 00:00:00";"Задача 94";1;true;6;4;2;4;2
"2017-05-05 00:00:00";"Задача 30";2;true;5;2;1;3;5
"2017-05-05 00:00:00";"Задача 175";3;true;8;3;1;5;2
"2017-05-05 00:00:00";"Задача 15";4;true;3;3;3;2;5
"2017-05-05 00:00:00";"Задача 214";5;true;1;1;4;1;1
"2017-05-05 00:00:00";"Задача 100";6;true;4;4;4;3;1
"2017-05-05 00:00:00";"Задача 246";7;true;7;1;3;4;4
"2017-05-05 00:00:00";"Задача 74";8;true;7;1;1;4;5
"2017-05-05 00:00:00";"Задача 177";9;true;2;3;1;2;5
"2017-05-05 00:00:00";"Задача 42";10;true;3;3;5;2;3
"2017-05-08 00:00:00";"Задача 66";1;true;4;1;1;3;1
"2017-05-08 00:00:00";"Задача 26";2;true;3;3;5;2;1
"2017-05-08 00:00:00";"Задача 38";3;true;3;1;1;2;2
"2017-05-08 00:00:00";"Задача 135";4;true;8;2;1;5;5
"2017-05-08 00:00:00";"Задача 183";5;true;8;1;2;5;4
"2017-05-08 00:00:00";"Задача 143";6;true;8;1;2;5;5
"2017-05-08 00:00:00";"Задача 182";7;true;5;2;3;3;4
"2017-05-08 00:00:00";"Задача 104";8;true;5;1;2;3;2
"2017-05-08 00:00:00";"Задача 64";9;true;5;3;3;3;4
"2017-05-08 00:00:00";"Задача 154";10;true;1;2;3;1;5
"2017-05-09 00:00:00";"Задача 194";1;true;1;1;3;1;4
"2017-05-09 00:00:00";"Задача 218";2;true;8;4;3;5;2
"2017-05-09 00:00:00";"Задача 196";3;true;4;1;2;3;2
"2017-05-09 00:00:00";"Задача 205";4;true;3;1;2;2;1
"2017-05-09 00:00:00";"Задача 33";5;true;1;1;5;1;3
"2017-05-09 00:00:00";"Задача 155";6;true;1;1;5;1;5
"2017-05-09 00:00:00";"Задача 12";7;true;7;1;1;4;4
"2017-05-09 00:00:00";"Задача 3";8;true;5;2;5;3;1
"2017-05-09 00:00:00";"Задача 154";9;true;4;3;5;3;2
"2017-05-09 00:00:00";"Задача 13";10;true;4;1;4;3;2
"2017-05-10 00:00:00";"Задача 159";1;true;6;4;5;4;4
"2017-05-10 00:00:00";"Задача 69";2;true;7;2;2;4;3
"2017-05-10 00:00:00";"Задача 138";3;true;1;4;1;1;4
"2017-05-10 00:00:00";"Задача 94";4;true;2;1;3;2;1
"2017-05-10 00:00:00";"Задача 233";5;true;6;3;2;4;5
"2017-05-10 00:00:00";"Задача 161";6;true;2;3;3;2;3
"2017-05-10 00:00:00";"Задача 152";7;true;1;3;1;1;5
"2017-05-10 00:00:00";"Задача 229";8;true;1;4;3;1;2
"2017-05-10 00:00:00";"Задача 39";9;true;6;1;1;4;3
"2017-05-10 00:00:00";"Задача 187";10;true;6;3;5;4;4
"2017-05-11 00:00:00";"Задача 52";1;true;4;4;1;3;4
"2017-05-11 00:00:00";"Задача 89";2;true;8;2;5;5;1
"2017-05-11 00:00:00";"Задача 217";3;true;5;2;5;3;5
"2017-05-11 00:00:00";"Задача 47";4;true;7;2;2;4;3
"2017-05-11 00:00:00";"Задача 90";5;true;3;3;5;2;2
"2017-05-11 00:00:00";"Задача 129";6;true;8;1;3;5;5
"2017-05-11 00:00:00";"Задача 27";7;true;5;2;1;3;4
"2017-05-11 00:00:00";"Задача 146";8;true;2;2;2;2;3
"2017-05-11 00:00:00";"Задача 81";9;true;6;3;4;4;5
"2017-05-11 00:00:00";"Задача 129";10;true;4;3;5;3;5
"2017-05-12 00:00:00";"Задача 51";1;true;6;1;5;4;2
"2017-05-12 00:00:00";"Задача 242";2;true;1;3;2;1;2
"2017-05-12 00:00:00";"Задача 117";3;true;4;1;5;3;2
"2017-05-12 00:00:00";"Задача 242";4;true;7;1;3;4;4
"2017-05-12 00:00:00";"Задача 160";5;true;1;4;5;1;2
"2017-05-12 00:00:00";"Задача 80";6;true;7;3;2;4;2
"2017-05-12 00:00:00";"Задача 22";7;true;8;4;4;5;5
"2017-05-12 00:00:00";"Задача 65";8;true;7;4;2;4;2
"2017-05-12 00:00:00";"Задача 180";9;true;1;2;5;1;4
"2017-05-12 00:00:00";"Задача 215";10;true;7;1;1;4;5
"2017-05-15 00:00:00";"Задача 157";1;true;5;1;4;3;5
"2017-05-15 00:00:00";"Задача 192";2;true;1;3;2;1;2
"2017-05-15 00:00:00";"Задача 100";3;true;1;4;4;1;4
"2017-05-15 00:00:00";"Задача 115";4;true;3;1;4;2;4
"2017-05-15 00:00:00";"Задача 61";5;true;6;4;3;4;1
"2017-05-15 00:00:00";"Задача 145";6;true;8;2;3;5;2
"2017-05-15 00:00:00";"Задача 127";7;true;8;1;4;5;1
"2017-05-15 00:00:00";"Задача 172";8;true;2;1;3;2;1
"2017-05-15 00:00:00";"Задача 201";9;true;3;4;4;2;3
"2017-05-15 00:00:00";"Задача 119";10;true;4;1;3;3;5
"2017-05-16 00:00:00";"Задача 182";1;true;2;4;2;2;1
"2017-05-16 00:00:00";"Задача 34";2;true;1;3;5;1;3
"2017-05-16 00:00:00";"Задача 34";3;true;1;2;4;1;1
"2017-05-16 00:00:00";"Задача 241";4;true;5;2;5;3;3
"2017-05-16 00:00:00";"Задача 69";5;true;6;2;4;4;5
"2017-05-16 00:00:00";"Задача 124";6;true;4;1;1;3;1
"2017-05-16 00:00:00";"Задача 34";7;true;6;4;4;4;2
"2017-05-16 00:00:00";"Задача 53";8;true;6;4;1;4;4
"2017-05-16 00:00:00";"Задача 92";9;true;8;2;4;5;5
"2017-05-16 00:00:00";"Задача 119";10;true;5;3;2;3;1
"2017-05-17 00:00:00";"Задача 219";1;true;5;1;3;3;4
"2017-05-17 00:00:00";"Задача 231";2;true;4;1;4;3;3
"2017-05-17 00:00:00";"Задача 147";3;true;5;4;5;3;5
"2017-05-17 00:00:00";"Задача 220";4;true;7;4;5;4;2
"2017-05-17 00:00:00";"Задача 43";5;true;8;4;4;5;2
"2017-05-17 00:00:00";"Задача 16";6;true;6;3;4;4;5
"2017-05-17 00:00:00";"Задача 52";7;true;5;4;1;3;2
"2017-05-17 00:00:00";"Задача 82";8;true;2;2;3;2;4
"2017-05-17 00:00:00";"Задача 3";9;true;8;4;1;5;4
"2017-05-17 00:00:00";"Задача 89";10;true;7;2;5;4;3
"2017-05-18 00:00:00";"Задача 191";1;true;7;3;5;4;3
"2017-05-18 00:00:00";"Задача 97";2;true;2;2;5;2;2
"2017-05-18 00:00:00";"Задача 125";3;true;8;1;4;5;1
"2017-05-18 00:00:00";"Задача 70";4;true;2;1;1;2;4
"2017-05-18 00:00:00";"Задача 55";5;true;8;4;4;5;4
"2017-05-18 00:00:00";"Задача 150";6;true;3;1;3;2;4
"2017-05-18 00:00:00";"Задача 113";7;true;2;2;2;2;2
"2017-05-18 00:00:00";"Задача 112";8;true;2;4;3;2;3
"2017-05-18 00:00:00";"Задача 45";9;true;3;4;2;2;2
"2017-05-18 00:00:00";"Задача 248";10;true;8;2;2;5;1
"2017-05-19 00:00:00";"Задача 119";1;true;6;4;5;4;5
"2017-05-19 00:00:00";"Задача 90";2;true;8;1;3;5;3
"2017-05-19 00:00:00";"Задача 56";3;true;6;4;1;4;2
"2017-05-19 00:00:00";"Задача 154";4;true;4;1;3;3;2
"2017-05-19 00:00:00";"Задача 112";5;true;1;2;4;1;4
"2017-05-19 00:00:00";"Задача 158";6;true;6;3;4;4;4
"2017-05-19 00:00:00";"Задача 34";7;true;5;4;4;3;2
"2017-05-19 00:00:00";"Задача 163";8;true;2;3;5;2;1
"2017-05-19 00:00:00";"Задача 143";9;true;4;4;2;3;5
"2017-05-19 00:00:00";"Задача 230";10;true;3;3;4;2;5
"2017-05-22 00:00:00";"Задача 101";1;true;2;3;5;2;2
"2017-05-22 00:00:00";"Задача 112";2;true;6;2;3;4;5
"2017-05-22 00:00:00";"Задача 156";3;true;3;4;3;2;5
"2017-05-22 00:00:00";"Задача 232";4;true;4;1;3;3;1
"2017-05-22 00:00:00";"Задача 39";5;true;1;2;4;1;5
"2017-05-22 00:00:00";"Задача 244";6;true;4;4;1;3;3
